Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,23416.61914,23446.39063,23272.23047,23319.36914,23319.36914,61100000
2020-09-18,23321.18945,23398.46094,23290.18945,23360.30078,23360.30078,82600000
2020-09-23,23245.89063,23370.13086,23154.44922,23346.49023,23346.49023,77000000
2020-09-24,23215,23234.7207,23039.48047,23087.82031,23087.82031,70500000
2020-09-25,23217.33008,23272.66992,23154.66016,23204.61914,23204.61914,72200000
2020-09-28,23391.96094,23516.03906,23303.0293,23511.61914,23511.61914,82000000
2020-09-29,23410.5,23622.74023,23347.64063,23539.09961,23539.09961,61300000
2020-09-30,23478.84961,23522.38086,23170.89063,23185.11914,23185.11914,88200000
2020-10-02,23294.80078,23365.58008,22951.41016,23029.90039,23029.90039,86300000
2020-10-05,23254.2793,23377.42969,23252.68945,23312.14063,23312.14063,59500000
2020-10-06,23420.07031,23441.16016,23331.40039,23433.73047,23433.73047,57700000
2020-10-07,23272.44922,23432.73047,23272.44922,23422.82031,23422.82031,52100000
2020-10-08,23506.33984,23701.76953,23477.73047,23647.07031,23647.07031,56300000
2020-10-09,23713.85938,23725.58008,23552.73047,23619.68945,23619.68945,56100000
2020-10-12,23588.74023,23597.91016,23501.25977,23558.68945,23558.68945,44900000
2020-10-13,23667.90039,23667.90039,23490.94922,23601.7793,23601.7793,47200000
2020-10-14,23545.66016,23656.69922,23518.81055,23626.73047,23626.73047,54000000
2020-10-15,23548.44922,23581.16016,23458.42969,23507.23047,23507.23047,48300000
2020-10-16,23478.40039,23538.74023,23382.66992,23410.63086,23410.63086,48100000
2020-10-19,23543.68945,23707.16016,23543.68945,23671.13086,23671.13086,46300000
2020-10-20,23587.86914,23674.86914,23518.28906,23567.03906,23567.03906,48700000
2020-10-21,23615.51953,23702.30078,23611.33008,23639.46094,23639.46094,53300000
2020-10-22,23525.58984,23555.7793,23436.16992,23474.26953,23474.26953,44900000
2020-10-23,23558.71094,23587.90039,23469.13086,23516.58984,23516.58984,49200000
2020-10-26,23520.7793,23572.59961,23475.51953,23494.33984,23494.33984,41700000
2020-10-27,23376.96094,23485.80078,23232.31055,23485.80078,23485.80078,52700000
2020-10-28,23372.60938,23451.0293,23334.23047,23418.50977,23418.50977,67100000
2020-10-29,23170.75977,23374.09961,23170.75977,23331.93945,23331.93945,57500000
2020-10-30,23320.71094,23320.71094,22948.4707,22977.13086,22977.13086,76700000
2020-11-02,23110.74023,23370.91016,23096.78906,23295.48047,23295.48047,69700000
2020-11-04,23619.58008,23801.88086,23505.7793,23695.23047,23695.23047,81600000
2020-11-05,23776.19922,24112.41992,23756.7793,24105.2793,24105.2793,78600000
2020-11-06,24076.2207,24389,24039.16016,24325.23047,24325.23047,73200000
2020-11-09,24568.83984,24962.80078,24541.2793,24839.83984,24839.83984,67000000
2020-11-10,25087.30078,25279.93945,24833.17969,24905.58984,24905.58984,128200000
2020-11-11,25145.66016,25401.30078,25145.66016,25349.59961,25349.59961,102500000
2020-11-12,25439.34961,25587.96094,25316.59961,25520.88086,25520.88086,80500000
2020-11-13,25405.64063,25456.17969,25215.31055,25385.86914,25385.86914,77600000
